name,overall,position,value,value_predicted,difference
A. Montgomery,60,3,0.6,0.7143022174622715,-0.11430221746227154
C. Dalle Mura,60,2,0.6,0.7124726362176129,-0.11247263621761294
W. Burger,66,4,1.9,2.011597791649052,-0.11159779164905226
R. Ledezma,67,4,2.5,2.609696839542174,-0.10969683954217402
D. Michalski,64,2,0.75,0.8592865764405201,-0.10928657644052009
F. Di Santo,72,4,1.9,2.0092075481313216,-0.10920754813132172
R. Priso,61,2,0.725,0.8321642463693167,-0.10716424636931676
L. García,76,4,11.000000000000002,11.106792592017756,-0.10679259201775437
M. Elneny,76,3,6.499999999999999,6.605873957417134,-0.10587395741713479
Peru Rodríguez,63,2,1.1,1.2053265616778077,-0.10532656167780763
M. Toure,59,4,0.575,0.6794314869094338,-0.10443148690943382
F. Soldano,68,4,1.4,1.5021205395474058,-0.10212053954740585
Alberto Moreno,63,4,1.2,1.29849983769329,-0.09849983769328996
D. Watmore,68,4,1.3,1.3967670895221542,-0.09676708952215418
S. Sunzu,74,2,2.7,2.7963102612348463,-0.0963102612348461
L. Samardžić,65,4,1.8,1.8955978695215643,-0.09559786952156424
Pedro Raul,68,4,1.8,1.8947086204974766,-0.09470862049747653
R. Bogarín,68,3,1.8,1.8943657054999257,-0.09436570549992562
D. Bernard,67,2,2.3,2.3942077296395756,-0.0942077296395758
K. Malcuit,74,2,3.7000000000000006,3.7931346014131173,-0.09313460141311669
R. Philippe,60,4,0.525,0.6167816807214492,-0.09178168072144921
I. Nuhu,63,3,1.1,1.1887893961920828,-0.0887893961920827
W. Burns,67,3,1.1,1.1878643014677224,-0.08786430146772228
O. Sijarić,62,4,0.85,0.9351308451703381,-0.08513084517033809
